title,abstract,publish_time,journal,authors,source_x
Study 33 on COVID-19 transmission and response,This paper 33 discusses key findings about SARS-CoV-2 and public health measures.,2021-02-14,Unknown,Doe J; Smith A,Elsevier
Study 34 on COVID-19 transmission and response,This paper 34 discusses key findings about SARS-CoV-2 and public health measures.,2022-01-22,JAMA,Doe J; Smith A,Elsevier
Study 35 on COVID-19 transmission and response,This paper 35 discusses key findings about SARS-CoV-2 and public health measures.,2019-03-14,Science,Doe J; Smith A,medRxiv
Study 36 on COVID-19 transmission and response,This paper 36 discusses key findings about SARS-CoV-2 and public health measures.,2022-11-14,Unknown,Doe J; Smith A,WHO
Study 37 on COVID-19 transmission and response,This paper 37 discusses key findings about SARS-CoV-2 and public health measures.,2022-07-17,BMJ,Doe J; Smith A,CZI
Study 38 on COVID-19 transmission and response,This paper 38 discusses key findings about SARS-CoV-2 and public health measures.,2020-12-26,Science,Doe J; Smith A,Elsevier
Study 39 on COVID-19 transmission and response,This paper 39 discusses key findings about SARS-CoV-2 and public health measures.,2021-03-12,Nature,Doe J; Smith A,medRxiv
Study 40 on COVID-19 transmission and response,This paper 40 discusses key findings about SARS-CoV-2 and public health measures.,2019-05-17,Unknown,Doe J; Smith A,medRxiv
Study 41 on COVID-19 transmission and response,This paper 41 discusses key findings about SARS-CoV-2 and public health measures.,2022-02-25,Nature,Doe J; Smith A,CZI
Study 42 on COVID-19 transmission and response,This paper 42 discusses key findings about SARS-CoV-2 and public health measures.,2021-05-11,JAMA,Doe J; Smith A,bioRxiv
Study 43 on COVID-19 transmission and response,This paper 43 discusses key findings about SARS-CoV-2 and public health measures.,2020-07-23,BMJ,Doe J; Smith A,CZI
Study 44 on COVID-19 transmission and response,This paper 44 discusses key findings about SARS-CoV-2 and public health measures.,2019-10-15,Nature,Doe J; Smith A,medRxiv
Study 45 on COVID-19 transmission and response,This paper 45 discusses key findings about SARS-CoV-2 and public health measures.,2022-05-24,JAMA,Doe J; Smith A,CZI
Study 46 on COVID-19 transmission and response,This paper 46 discusses key findings about SARS-CoV-2 and public health measures.,2020-10-13,Unknown,Doe J; Smith A,PMC
Study 47 on COVID-19 transmission and response,This paper 47 discusses key findings about SARS-CoV-2 and public health measures.,2022-08-17,The Lancet,Doe J; Smith A,bioRxiv
Study 48 on COVID-19 transmission and response,This paper 48 discusses key findings about SARS-CoV-2 and public health measures.,2021-04-09,BMJ,Doe J; Smith A,Elsevier
Study 49 on COVID-19 transmission and response,This paper 49 discusses key findings about SARS-CoV-2 and public health measures.,2022-11-18,The Lancet,Doe J; Smith A,CZI
Study 50 on COVID-19 transmission and response,This paper 50 discusses key findings about SARS-CoV-2 and public health measures.,2022-06-09,Nature,Doe J; Smith A,PMC
Study 51 on COVID-19 transmission and response,This paper 51 discusses key findings about SARS-CoV-2 and public health measures.,2019-02-17,The Lancet,Doe J; Smith A,PMC
Study 52 on COVID-19 transmission and response,This paper 52 discusses key findings about SARS-CoV-2 and public health measures.,2020-12-22,Science,Doe J; Smith A,CZI
Study 53 on COVID-19 transmission and response,This paper 53 discusses key findings about SARS-CoV-2 and public health measures.,2020-11-12,Cell,Doe J; Smith A,bioRxiv
Study 54 on COVID-19 transmission and response,This paper 54 discusses key findings about SARS-CoV-2 and public health measures.,2020-01-12,Science,Doe J; Smith A,CZI
Study 55 on COVID-19 transmission and response,This paper 55 discusses key findings about SARS-CoV-2 and public health measures.,2019-11-09,Cell,Doe J; Smith A,PMC
Study 56 on COVID-19 transmission and response,This paper 56 discusses key findings about SARS-CoV-2 and public health measures.,2021-12-20,Cell,Doe J; Smith A,bioRxiv
Study 57 on COVID-19 transmission and response,This paper 57 discusses key findings about SARS-CoV-2 and public health measures.,2019-10-16,BMJ,Doe J; Smith A,bioRxiv
Study 58 on COVID-19 transmission and response,This paper 58 discusses key findings about SARS-CoV-2 and public health measures.,2021-04-14,Unknown,Doe J; Smith A,CZI
Study 59 on COVID-19 transmission and response,This paper 59 discusses key findings about SARS-CoV-2 and public health measures.,2021-08-01,The Lancet,Doe J; Smith A,Elsevier
Study 60 on COVID-19 transmission and response,This paper 60 discusses key findings about SARS-CoV-2 and public health measures.,2022-07-03,Science,Doe J; Smith A,Elsevier
Study 61 on COVID-19 transmission and response,This paper 61 discusses key findings about SARS-CoV-2 and public health measures.,2021-08-01,Nature,Doe J; Smith A,Elsevier
Study 62 on COVID-19 transmission and response,This paper 62 discusses key findings about SARS-CoV-2 and public health measures.,2020-08-23,Cell,Doe J; Smith A,CZI
Study 63 on COVID-19 transmission and response,This paper 63 discusses key findings about SARS-CoV-2 and public health measures.,2022-08-23,Nature,Doe J; Smith A,medRxiv
Study 64 on COVID-19 transmission and response,This paper 64 discusses key findings about SARS-CoV-2 and public health measures.,2020-07-02,The Lancet,Doe J; Smith A,bioRxiv
Study 65 on COVID-19 transmission and response,This paper 65 discusses key findings about SARS-CoV-2 and public health measures.,2020-09-02,BMJ,Doe J; Smith A,medRxiv
Study 66 on COVID-19 transmission and response,This paper 66 discusses key findings about SARS-CoV-2 and public health measures.,2022-07-22,Science,Doe J; Smith A,bioRxiv
Study 67 on COVID-19 transmission and response,This paper 67 discusses key findings about SARS-CoV-2 and public health measures.,2020-01-15,Nature,Doe J; Smith A,PMC
Study 68 on COVID-19 transmission and response,This paper 68 discusses key findings about SARS-CoV-2 and public health measures.,2019-01-09,The Lancet,Doe J; Smith A,Elsevier
Study 69 on COVID-19 transmission and response,This paper 69 discusses key findings about SARS-CoV-2 and public health measures.,2020-12-17,BMJ,Doe J; Smith A,bioRxiv
Study 70 on COVID-19 transmission and response,This paper 70 discusses key findings about SARS-CoV-2 and public health measures.,2022-11-07,Cell,Doe J; Smith A,Elsevier
Study 71 on COVID-19 transmission and response,This paper 71 discusses key findings about SARS-CoV-2 and public health measures.,2019-08-06,Unknown,Doe J; Smith A,bioRxiv
Study 72 on COVID-19 transmission and response,This paper 72 discusses key findings about SARS-CoV-2 and public health measures.,2020-03-10,Science,Doe J; Smith A,WHO
Study 73 on COVID-19 transmission and response,This paper 73 discusses key findings about SARS-CoV-2 and public health measures.,2019-10-25,JAMA,Doe J; Smith A,bioRxiv
Study 74 on COVID-19 transmission and response,This paper 74 discusses key findings about SARS-CoV-2 and public health measures.,2021-02-21,BMJ,Doe J; Smith A,bioRxiv
Study 75 on COVID-19 transmission and response,This paper 75 discusses key findings about SARS-CoV-2 and public health measures.,2020-05-06,Cell,Doe J; Smith A,Elsevier
Study 76 on COVID-19 transmission and response,This paper 76 discusses key findings about SARS-CoV-2 and public health measures.,2020-04-16,Nature,Doe J; Smith A,medRxiv
Study 77 on COVID-19 transmission and response,This paper 77 discusses key findings about SARS-CoV-2 and public health measures.,2019-01-24,Nature,Doe J; Smith A,Elsevier
Study 78 on COVID-19 transmission and response,This paper 78 discusses key findings about SARS-CoV-2 and public health measures.,2021-10-26,The Lancet,Doe J; Smith A,CZI
Study 79 on COVID-19 transmission and response,This paper 79 discusses key findings about SARS-CoV-2 and public health measures.,2021-07-21,The Lancet,Doe J; Smith A,Elsevier
Study 80 on COVID-19 transmission and response,This paper 80 discusses key findings about SARS-CoV-2 and public health measures.,2022-04-04,JAMA,Doe J; Smith A,bioRxiv
Study 81 on COVID-19 transmission and response,This paper 81 discusses key findings about SARS-CoV-2 and public health measures.,2020-07-07,Unknown,Doe J; Smith A,PMC
Study 82 on COVID-19 transmission and response,This paper 82 discusses key findings about SARS-CoV-2 and public health measures.,2019-01-06,Science,Doe J; Smith A,CZI
Study 83 on COVID-19 transmission and response,This paper 83 discusses key findings about SARS-CoV-2 and public health measures.,2022-06-05,BMJ,Doe J; Smith A,WHO
Study 84 on COVID-19 transmission and response,This paper 84 discusses key findings about SARS-CoV-2 and public health measures.,2021-07-05,The Lancet,Doe J; Smith A,WHO
Study 85 on COVID-19 transmission and response,This paper 85 discusses key findings about SARS-CoV-2 and public health measures.,2021-05-09,Science,Doe J; Smith A,Elsevier
Study 86 on COVID-19 transmission and response,This paper 86 discusses key findings about SARS-CoV-2 and public health measures.,2019-10-15,The Lancet,Doe J; Smith A,WHO
Study 87 on COVID-19 transmission and response,This paper 87 discusses key findings about SARS-CoV-2 and public health measures.,2020-03-11,Unknown,Doe J; Smith A,Elsevier
Study 88 on COVID-19 transmission and response,This paper 88 discusses key findings about SARS-CoV-2 and public health measures.,2022-02-12,JAMA,Doe J; Smith A,PMC
Study 89 on COVID-19 transmission and response,This paper 89 discusses key findings about SARS-CoV-2 and public health measures.,2022-07-07,JAMA,Doe J; Smith A,CZI
Study 90 on COVID-19 transmission and response,This paper 90 discusses key findings about SARS-CoV-2 and public health measures.,2020-11-05,Unknown,Doe J; Smith A,medRxiv
Study 91 on COVID-19 transmission and response,This paper 91 discusses key findings about SARS-CoV-2 and public health measures.,2022-05-27,BMJ,Doe J; Smith A,WHO
Study 92 on COVID-19 transmission and response,This paper 92 discusses key findings about SARS-CoV-2 and public health measures.,2022-01-17,JAMA,Doe J; Smith A,medRxiv
Study 93 on COVID-19 transmission and response,This paper 93 discusses key findings about SARS-CoV-2 and public health measures.,2020-12-07,JAMA,Doe J; Smith A,Elsevier
Study 94 on COVID-19 transmission and response,This paper 94 discusses key findings about SARS-CoV-2 and public health measures.,2022-06-22,The Lancet,Doe J; Smith A,CZI
Study 95 on COVID-19 transmission and response,This paper 95 discusses key findings about SARS-CoV-2 and public health measures.,2020-03-23,Nature,Doe J; Smith A,WHO
Study 96 on COVID-19 transmission and response,This paper 96 discusses key findings about SARS-CoV-2 and public health measures.,2019-08-27,The Lancet,Doe J; Smith A,bioRxiv
Study 97 on COVID-19 transmission and response,This paper 97 discusses key findings about SARS-CoV-2 and public health measures.,2021-04-05,Nature,Doe J; Smith A,bioRxiv
Study 98 on COVID-19 transmission and response,This paper 98 discusses key findings about SARS-CoV-2 and public health measures.,2021-12-18,Science,Doe J; Smith A,PMC
Study 99 on COVID-19 transmission and response,This paper 99 discusses key findings about SARS-CoV-2 and public health measures.,2019-04-27,Nature,Doe J; Smith A,medRxiv
Study 100 on COVID-19 transmission and response,This paper 100 discusses key findings about SARS-CoV-2 and public health measures.,2022-07-22,BMJ,Doe J; Smith A,WHO
Study 101 on COVID-19 transmission and response,This paper 101 discusses key findings about SARS-CoV-2 and public health measures.,2019-07-07,Unknown,Doe J; Smith A,PMC
Study 102 on COVID-19 transmission and response,This paper 102 discusses key findings about SARS-CoV-2 and public health measures.,2022-03-25,JAMA,Doe J; Smith A,Elsevier
Study 103 on COVID-19 transmission and response,This paper 103 discusses key findings about SARS-CoV-2 and public health measures.,2019-06-12,Science,Doe J; Smith A,PMC
Study 104 on COVID-19 transmission and response,This paper 104 discusses key findings about SARS-CoV-2 and public health measures.,2022-02-14,Science,Doe J; Smith A,CZI
Study 105 on COVID-19 transmission and response,This paper 105 discusses key findings about SARS-CoV-2 and public health measures.,2022-08-16,BMJ,Doe J; Smith A,medRxiv
Study 106 on COVID-19 transmission and response,This paper 106 discusses key findings about SARS-CoV-2 and public health measures.,2022-10-21,Science,Doe J; Smith A,medRxiv
Study 107 on COVID-19 transmission and response,This paper 107 discusses key findings about SARS-CoV-2 and public health measures.,2021-12-04,The Lancet,Doe J; Smith A,WHO
Study 108 on COVID-19 transmission and response,This paper 108 discusses key findings about SARS-CoV-2 and public health measures.,2020-04-15,Science,Doe J; Smith A,medRxiv
Study 109 on COVID-19 transmission and response,This paper 109 discusses key findings about SARS-CoV-2 and public health measures.,2021-04-23,Science,Doe J; Smith A,bioRxiv
Study 110 on COVID-19 transmission and response,This paper 110 discusses key findings about SARS-CoV-2 and public health measures.,2020-07-15,Unknown,Doe J; Smith A,WHO
Study 111 on COVID-19 transmission and response,This paper 111 discusses key findings about SARS-CoV-2 and public health measures.,2022-09-08,Unknown,Doe J; Smith A,CZI
Study 112 on COVID-19 transmission and response,This paper 112 discusses key findings about SARS-CoV-2 and public health measures.,2021-12-02,Nature,Doe J; Smith A,Elsevier
Study 113 on COVID-19 transmission and response,This paper 113 discusses key findings about SARS-CoV-2 and public health measures.,2020-01-15,BMJ,Doe J; Smith A,PMC
Study 114 on COVID-19 transmission and response,This paper 114 discusses key findings about SARS-CoV-2 and public health measures.,2021-03-19,JAMA,Doe J; Smith A,bioRxiv
Study 115 on COVID-19 transmission and response,This paper 115 discusses key findings about SARS-CoV-2 and public health measures.,2021-04-15,BMJ,Doe J; Smith A,WHO
Study 116 on COVID-19 transmission and response,This paper 116 discusses key findings about SARS-CoV-2 and public health measures.,2019-04-27,Science,Doe J; Smith A,medRxiv
Study 117 on COVID-19 transmission and response,This paper 117 discusses key findings about SARS-CoV-2 and public health measures.,2019-06-17,Cell,Doe J; Smith A,medRxiv
Study 118 on COVID-19 transmission and response,This paper 118 discusses key findings about SARS-CoV-2 and public health measures.,2019-11-14,The Lancet,Doe J; Smith A,WHO
Study 119 on COVID-19 transmission and response,This paper 119 discusses key findings about SARS-CoV-2 and public health measures.,2019-01-02,Unknown,Doe J; Smith A,bioRxiv
Study 120 on COVID-19 transmission and response,This paper 120 discusses key findings about SARS-CoV-2 and public health measures.,2020-10-16,Unknown,Doe J; Smith A,medRxiv
Study 121 on COVID-19 transmission and response,This paper 121 discusses key findings about SARS-CoV-2 and public health measures.,2021-08-05,Unknown,Doe J; Smith A,bioRxiv
Study 122 on COVID-19 transmission and response,This paper 122 discusses key findings about SARS-CoV-2 and public health measures.,2021-08-20,Nature,Doe J; Smith A,PMC
Study 123 on COVID-19 transmission and response,This paper 123 discusses key findings about SARS-CoV-2 and public health measures.,2020-09-05,BMJ,Doe J; Smith A,WHO
Study 124 on COVID-19 transmission and response,This paper 124 discusses key findings about SARS-CoV-2 and public health measures.,2022-02-25,Nature,Doe J; Smith A,bioRxiv
Study 125 on COVID-19 transmission and response,This paper 125 discusses key findings about SARS-CoV-2 and public health measures.,2021-09-09,Nature,Doe J; Smith A,medRxiv
Study 126 on COVID-19 transmission and response,This paper 126 discusses key findings about SARS-CoV-2 and public health measures.,2019-03-12,Nature,Doe J; Smith A,WHO
Study 127 on COVID-19 transmission and response,This paper 127 discusses key findings about SARS-CoV-2 and public health measures.,2022-07-04,JAMA,Doe J; Smith A,PMC
Study 128 on COVID-19 transmission and response,This paper 128 discusses key findings about SARS-CoV-2 and public health measures.,2021-09-06,Nature,Doe J; Smith A,CZI
Study 129 on COVID-19 transmission and response,This paper 129 discusses key findings about SARS-CoV-2 and public health measures.,2021-08-25,BMJ,Doe J; Smith A,Elsevier
Study 130 on COVID-19 transmission and response,This paper 130 discusses key findings about SARS-CoV-2 and public health measures.,2021-04-08,Unknown,Doe J; Smith A,Elsevier
Study 131 on COVID-19 transmission and response,This paper 131 discusses key findings about SARS-CoV-2 and public health measures.,2021-05-14,Unknown,Doe J; Smith A,bioRxiv
Study 132 on COVID-19 transmission and response,This paper 132 discusses key findings about SARS-CoV-2 and public health measures.,2019-06-27,Unknown,Doe J; Smith A,PMC
Study 133 on COVID-19 transmission and response,This paper 133 discusses key findings about SARS-CoV-2 and public health measures.,2021-01-17,Nature,Doe J; Smith A,WHO
Study 134 on COVID-19 transmission and response,This paper 134 discusses key findings about SARS-CoV-2 and public health measures.,2022-09-02,Science,Doe J; Smith A,CZI
Study 135 on COVID-19 transmission and response,This paper 135 discusses key findings about SARS-CoV-2 and public health measures.,2020-02-10,Science,Doe J; Smith A,bioRxiv
Study 136 on COVID-19 transmission and response,This paper 136 discusses key findings about SARS-CoV-2 and public health measures.,2021-06-11,Nature,Doe J; Smith A,PMC
Study 137 on COVID-19 transmission and response,This paper 137 discusses key findings about SARS-CoV-2 and public health measures.,2019-08-08,Unknown,Doe J; Smith A,CZI
Study 138 on COVID-19 transmission and response,This paper 138 discusses key findings about SARS-CoV-2 and public health measures.,2020-01-07,BMJ,Doe J; Smith A,CZI
Study 139 on COVID-19 transmission and response,This paper 139 discusses key findings about SARS-CoV-2 and public health measures.,2020-12-14,Unknown,Doe J; Smith A,PMC
Study 140 on COVID-19 transmission and response,This paper 140 discusses key findings about SARS-CoV-2 and public health measures.,2022-05-11,Nature,Doe J; Smith A,Elsevier
Study 141 on COVID-19 transmission and response,This paper 141 discusses key findings about SARS-CoV-2 and public health measures.,2019-01-08,Science,Doe J; Smith A,Elsevier
Study 142 on COVID-19 transmission and response,This paper 142 discusses key findings about SARS-CoV-2 and public health measures.,2020-08-12,Nature,Doe J; Smith A,Elsevier
Study 143 on COVID-19 transmission and response,This paper 143 discusses key findings about SARS-CoV-2 and public health measures.,2020-07-10,Unknown,Doe J; Smith A,bioRxiv
Study 144 on COVID-19 transmission and response,This paper 144 discusses key findings about SARS-CoV-2 and public health measures.,2022-08-07,Science,Doe J; Smith A,WHO
Study 145 on COVID-19 transmission and response,This paper 145 discusses key findings about SARS-CoV-2 and public health measures.,2022-10-13,Nature,Doe J; Smith A,CZI
Study 146 on COVID-19 transmission and response,This paper 146 discusses key findings about SARS-CoV-2 and public health measures.,2019-06-26,The Lancet,Doe J; Smith A,WHO
Study 147 on COVID-19 transmission and response,This paper 147 discusses key findings about SARS-CoV-2 and public health measures.,2019-10-14,BMJ,Doe J; Smith A,medRxiv
Study 148 on COVID-19 transmission and response,This paper 148 discusses key findings about SARS-CoV-2 and public health measures.,2022-05-17,Nature,Doe J; Smith A,Elsevier
Study 149 on COVID-19 transmission and response,This paper 149 discusses key findings about SARS-CoV-2 and public health measures.,2019-07-27,Nature,Doe J; Smith A,CZI
Study 150 on COVID-19 transmission and response,This paper 150 discusses key findings about SARS-CoV-2 and public health measures.,2022-02-17,Unknown,Doe J; Smith A,medRxiv
Study 151 on COVID-19 transmission and response,This paper 151 discusses key findings about SARS-CoV-2 and public health measures.,2020-08-07,Unknown,Doe J; Smith A,medRxiv
Study 152 on COVID-19 transmission and response,This paper 152 discusses key findings about SARS-CoV-2 and public health measures.,2022-04-11,JAMA,Doe J; Smith A,CZI
Study 153 on COVID-19 transmission and response,This paper 153 discusses key findings about SARS-CoV-2 and public health measures.,2020-09-14,Unknown,Doe J; Smith A,Elsevier
Study 154 on COVID-19 transmission and response,This paper 154 discusses key findings about SARS-CoV-2 and public health measures.,2020-10-13,Science,Doe J; Smith A,Elsevier
Study 155 on COVID-19 transmission and response,This paper 155 discusses key findings about SARS-CoV-2 and public health measures.,2021-11-05,Nature,Doe J; Smith A,CZI
Study 156 on COVID-19 transmission and response,This paper 156 discusses key findings about SARS-CoV-2 and public health measures.,2019-12-03,Cell,Doe J; Smith A,PMC
Study 157 on COVID-19 transmission and response,This paper 157 discusses key findings about SARS-CoV-2 and public health measures.,2021-02-10,Nature,Doe J; Smith A,medRxiv
Study 158 on COVID-19 transmission and response,This paper 158 discusses key findings about SARS-CoV-2 and public health measures.,2021-02-25,Cell,Doe J; Smith A,Elsevier
Study 159 on COVID-19 transmission and response,This paper 159 discusses key findings about SARS-CoV-2 and public health measures.,2022-12-20,BMJ,Doe J; Smith A,medRxiv
Study 160 on COVID-19 transmission and response,This paper 160 discusses key findings about SARS-CoV-2 and public health measures.,2022-05-23,Nature,Doe J; Smith A,WHO
Study 161 on COVID-19 transmission and response,This paper 161 discusses key findings about SARS-CoV-2 and public health measures.,2021-01-05,The Lancet,Doe J; Smith A,Elsevier
Study 162 on COVID-19 transmission and response,This paper 162 discusses key findings about SARS-CoV-2 and public health measures.,2020-04-12,Science,Doe J; Smith A,bioRxiv
Study 163 on COVID-19 transmission and response,This paper 163 discusses key findings about SARS-CoV-2 and public health measures.,2020-11-16,Cell,Doe J; Smith A,CZI
Study 164 on COVID-19 transmission and response,This paper 164 discusses key findings about SARS-CoV-2 and public health measures.,2020-05-12,JAMA,Doe J; Smith A,Elsevier
Study 165 on COVID-19 transmission and response,This paper 165 discusses key findings about SARS-CoV-2 and public health measures.,2022-01-12,The Lancet,Doe J; Smith A,PMC
Study 166 on COVID-19 transmission and response,This paper 166 discusses key findings about SARS-CoV-2 and public health measures.,2020-09-10,Unknown,Doe J; Smith A,PMC
Study 167 on COVID-19 transmission and response,This paper 167 discusses key findings about SARS-CoV-2 and public health measures.,2019-03-02,Cell,Doe J; Smith A,bioRxiv
Study 168 on COVID-19 transmission and response,This paper 168 discusses key findings about SARS-CoV-2 and public health measures.,2020-05-24,BMJ,Doe J; Smith A,PMC
Study 169 on COVID-19 transmission and response,This paper 169 discusses key findings about SARS-CoV-2 and public health measures.,2019-01-26,JAMA,Doe J; Smith A,Elsevier
Study 170 on COVID-19 transmission and response,This paper 170 discusses key findings about SARS-CoV-2 and public health measures.,2019-08-03,Unknown,Doe J; Smith A,Elsevier
Study 171 on COVID-19 transmission and response,This paper 171 discusses key findings about SARS-CoV-2 and public health measures.,2019-06-12,BMJ,Doe J; Smith A,medRxiv
Study 172 on COVID-19 transmission and response,This paper 172 discusses key findings about SARS-CoV-2 and public health measures.,2022-11-14,Nature,Doe J; Smith A,Elsevier
Study 173 on COVID-19 transmission and response,This paper 173 discusses key findings about SARS-CoV-2 and public health measures.,2021-05-22,The Lancet,Doe J; Smith A,medRxiv
Study 174 on COVID-19 transmission and response,This paper 174 discusses key findings about SARS-CoV-2 and public health measures.,2021-03-27,Science,Doe J; Smith A,bioRxiv
Study 175 on COVID-19 transmission and response,This paper 175 discusses key findings about SARS-CoV-2 and public health measures.,2020-02-12,Unknown,Doe J; Smith A,medRxiv
Study 176 on COVID-19 transmission and response,This paper 176 discusses key findings about SARS-CoV-2 and public health measures.,2021-03-21,Cell,Doe J; Smith A,medRxiv
Study 177 on COVID-19 transmission and response,This paper 177 discusses key findings about SARS-CoV-2 and public health measures.,2019-06-26,Science,Doe J; Smith A,PMC
Study 178 on COVID-19 transmission and response,This paper 178 discusses key findings about SARS-CoV-2 and public health measures.,2022-02-23,BMJ,Doe J; Smith A,CZI
Study 179 on COVID-19 transmission and response,This paper 179 discusses key findings about SARS-CoV-2 and public health measures.,2021-05-08,JAMA,Doe J; Smith A,WHO
Study 180 on COVID-19 transmission and response,This paper 180 discusses key findings about SARS-CoV-2 and public health measures.,2022-11-23,Nature,Doe J; Smith A,Elsevier
Study 181 on COVID-19 transmission and response,This paper 181 discusses key findings about SARS-CoV-2 and public health measures.,2019-10-12,BMJ,Doe J; Smith A,medRxiv
Study 182 on COVID-19 transmission and response,This paper 182 discusses key findings about SARS-CoV-2 and public health measures.,2020-08-01,Science,Doe J; Smith A,medRxiv
Study 183 on COVID-19 transmission and response,This paper 183 discusses key findings about SARS-CoV-2 and public health measures.,2021-11-21,Unknown,Doe J; Smith A,PMC
Study 184 on COVID-19 transmission and response,This paper 184 discusses key findings about SARS-CoV-2 and public health measures.,2020-10-23,Unknown,Doe J; Smith A,CZI
Study 185 on COVID-19 transmission and response,This paper 185 discusses key findings about SARS-CoV-2 and public health measures.,2020-08-10,Cell,Doe J; Smith A,PMC
Study 186 on COVID-19 transmission and response,This paper 186 discusses key findings about SARS-CoV-2 and public health measures.,2019-11-13,Nature,Doe J; Smith A,Elsevier
